cnpj,razao_social,sigla_uf,cnae_secao,archetype,headcount,receita_point_brl,receita_pia_brl,convergencia_pct,confidence
42555940000197,METAL LOG TRANSPORTES LTDA,SP,H,labor_intensive_midcap,146,40304294.10950937,31358532.62,22.195554312905614,alta
07185839000190,M M S TRANSPORTES LTDA,SP,H,labor_intensive_midcap,173,40266128.19049867,37157713.31,7.719676612046703,alta
48171664000140,VARIXX INDUSTRIA ELETRONICA LTDA,SP,C,labor_intensive_midcap,60,40238510.40812254,32415457.8,19.441705293701375,alta
45063127000198,FFE E PANG DISTRIBUIDORA LTDA,SP,G,standard,23,40236104.66664144,40973699.37,1.8331662805571702,baixa
31712093000100,METAPINTURA   SERVICOS DE PINTURA ELETROSTATICA LTDA,SP,C,labor_intensive_midcap,151,40233466.32238447,36975794.31,8.096921071332137,alta
08703427000168,ALLUPACK INDUSTRIA E COMERCIO DE LAMINADOS LTDA,SP,C,family_mature_sweet_spot,31,40226643.85015862,45663813.75,13.5163398669162,alta
03269229000114,PRINTMAX TECNOLOGIA LTDA,RJ,G,family_mature_sweet_spot,22,40219143.846275285,39192234.18,2.5532857442224937,alta
60632858000109,INDUSTRIA METALURGICA MULTIART LTDA,SP,C,standard,13,40172143.4467762,34191291.94,14.888056731899777,alta
39243407000185,INJETEC DE FRIBURGO INDUSTRIA E COMERCIO LTDA,RJ,C,standard,92,40105769.62177479,35230433.08,12.15619744428943,alta
14151510000174,SANTA BARBARA RECICLAGEM TRANSPORTE COMERCIO E SERVICOS LTDA,RJ,G,family_mature_sweet_spot,20,40060545.94328551,35629303.8,11.061362342787112,alta
09553326000110,TECNOR INDUSTRIA E COMERCIO DE MAQUINAS E EQUIPAMENTOS LIMITADA,SP,C,labor_intensive_midcap,68,40050851.94279069,44428968.24,10.931393677875043,alta
39679816000129,BOMPLASTIC BOM JESUS PLASTICOS LTDA,RJ,C,labor_intensive_midcap,81,40028519.48370923,41699955.06,4.175611783421094,alta
09301368000164,FAT COMERCIO DE TUBOS LTDA,SP,G,standard,17,40006049.38878674,30284908.23,24.299178017591185,alta
05373362000141,TB-FIL BRASIL INDUSTRIA E COMERCIO DE FILTROS E PECAS LTDA,SP,C,labor_intensive_midcap,65,40002373.3995147,40262141.400000006,0.6493814701716172,alta
04709876000405,ENERCOM INDUSTRIA E COMERCIO DE PLASTICOS LTDA,SP,C,labor_intensive_midcap,73,39980928.49704519,37581440.980000004,6.0015802715100035,alta
28411558000189,FUNGO DE QUINTAL COMERCIO DE ALIMENTOS LTDA.,SP,G,standard,17,39915055.98150573,30284908.23,24.126604647548955,alta
43018225000188,MOLTEC INDUSTRIA E COMERCIO DE MOLDES LTDA,SP,C,labor_intensive_midcap,69,39914339.08698569,32115990.66,19.53771152264523,alta
10944071000104,RG LOCACOES DE VEICULOS LTDA,SP,N,labor_intensive_midcap,87,39909702.49072729,32989132.41,17.34057045986557,alta
11959613000177,REAW - INDUSTRIA E COMERCIO DE PRODUTOS ODONTOLOGICOS LTDA,SP,C,labor_intensive_midcap,91,39907251.468620986,35715403.36,10.50397598019756,alta
10802469000106,"FERTEC INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO DE FERTILIZANTES LTDA",SP,C,standard,15,39891371.15152127,49639078.5,24.435628726457036,alta
52703063000108,CAMAR PLASTICOS LTDA,SP,C,labor_intensive_midcap,79,39880669.22849371,30252219.71,24.14314931208434,alta
07604623000112,INTIMUS PES - INDUSTRIA DE CALCADOS LTDA,SP,C,labor_intensive_midcap,167,39866964.13692407,30843854.58,22.633049072746,alta
66034190000176,MAXEPOXI INDUSTRIAL E COMERCIAL LTDA,SP,C,family_mature_sweet_spot,22,39841006.66018451,36272316.3,8.957329794959518,alta
42558791000110,ASSESSA INDUSTRIA COMERCIO E EXPORTACAO LTDA,RJ,C,family_mature_sweet_spot,30,39838911.01481028,32120806.200000003,19.373282597862776,alta
01731823000150,EXPRESSO A.D.L. LTDA,SP,H,labor_intensive_midcap,150,39826369.3127298,32217670.5,19.10467598234673,alta
17093142000143,J. B. DISTRIBUIDORA DE HORTIFRUTTI LTDA,SP,G,standard,18,39768346.6079146,32066373.419999998,19.367094297004975,alta
08236455000112,RIOFER METAIS TECNOLOGIA EM ACO LTDA.,SP,C,family_mature_sweet_spot,70,39761451.302791394,46147314.5,16.060437906501406,alta
11088172000185,SABOROSA ALIMENTOS DE SANTA CRUZ LTDA.,RJ,C,labor_intensive_midcap,76,39750753.05020121,44772727.839999996,12.633659501888026,alta
69278661000180,TINTAS DA TERRA INDUSTRIA E COMERCIO LTDA.,SP,C,family_mature_sweet_spot,42,39716516.54427129,46334925.84,16.664123320964695,alta
64606486000199,ERIVAL TELECOMUNICACOES COMERCIO E REPRESENTACOES LTDA,SP,J,family_mature_sweet_spot,67,39685003.68758883,46910551.16,18.207249089083227,alta
46571712000161,JC GUILHERMINA COMERCIO DE ALIMENTOS LTDA,RJ,G,labor_intensive_midcap,81,39629209.00138628,30813028.560000002,22.246672753619368,alta
33510202000132,PROFILE ESTRUTURAS LTDA,RJ,G,standard,26,39615509.86256767,46318094.94,16.9190933063455,baixa
51339552000160,ENMAC POSTES LTDA,SP,C,standard,90,39579960.392031275,41589941.4,5.0782794830017,alta
04831457000107,PEOPLE TEAM LTDA,SP,C,labor_intensive_midcap,85,39577587.774726234,49402180.2,24.823626142136014,alta
06207787000143,NATURAL VALORIZACAO DE RESIDUOS LTDA,SP,G,standard,20,39553639.16778039,35629303.8,9.921553238461762,alta
52853181000100,EQUIPALCOOL SISTEMAS LTDA,SP,C,standard,51,39522360.572807916,31325811.09,20.739018024260645,alta
02161501000185,GALO USINAGEM LTDA,SP,C,labor_intensive_midcap,61,39497064.721509665,35828884.36,9.287222702177196,alta
03967068000132,QUALITECH INDUSTRIA QUIMICA LTDA,SP,C,standard,32,39436883.28999512,34262193.28,13.12144768627774,alta
26192696000199,POLLO DISTRIBUIDORA DE CARNES E DERIVADOS LTDA,SP,G,family_mature_sweet_spot,20,39435924.54473175,35629303.8,9.652672756318784,alta
50509389000173,RTZ TRANSPORTES LTDA,SP,H,labor_intensive_midcap,188,39372253.57897044,40379480.36,2.558214705717381,alta
51758894000114,ELETRO METALURGICA EDANCA LTDA,SP,C,standard,49,39348450.16547635,32303120.15,17.904974619960516,alta
